count,res_state,county_fips_code
41286,AK,02020
12214,AK,02090
3212,AK,02110
8305,AK,02122
18253,AK,02170
24826,AK,NA
6562,AL,01001
25639,AL,01003
2247,AL,01005
2688,AL,01007
6482,AL,01009
13145,AL,01015
3840,AL,01017
1830,AL,01019
4334,AL,01021
2404,AL,01025
5925,AL,01031
5113,AL,01033
4141,AL,01039
9522,AL,01043
5898,AL,01045
2804,AL,01047
6406,AL,01049
10063,AL,01051
4491,AL,01053
10267,AL,01055
3094,AL,01059
2969,AL,01061
10880,AL,01069
5512,AL,01071
74273,AL,01073
9257,AL,01077
2940,AL,01079
16126,AL,01081
9740,AL,01083
34681,AL,01089
3299,AL,01093
9892,AL,01095
52988,AL,01097
2336,AL,01099
21638,AL,01101
12639,AL,01103
3337,AL,01109
2286,AL,01111
4342,AL,01113
11089,AL,01115
24932,AL,01117
9596,AL,01121
5365,AL,01123
19342,AL,01125
7263,AL,01127
2829,AL,01133
43347,AL,NA
4711,AR,05005
29708,AR,05007
4387,AR,05009
2571,AR,05015
2230,AR,05019
3076,AR,05023
2015,AR,05027
2247,AR,05029
15596,AR,05031
7087,AR,05033
5832,AR,05035
14809,AR,05045
11005,AR,05051
6812,AR,05055
2095,AR,05057
4649,AR,05059
4619,AR,05063
6351,AR,05069
3075,AR,05071
2441,AR,05083
9157,AR,05085
4291,AR,05091
5159,AR,05093
2376,AR,05103
3266,AR,05111
7490,AR,05115
41292,AR,05119
2416,AR,05123
13522,AR,05125
14926,AR,05131
4136,AR,05139
25963,AR,05143
10118,AR,05145
2536,AR,05149
60049,AR,NA
8742,AZ,04001
12700,AZ,04003
17356,AZ,04005
7390,AZ,04007
5437,AZ,04009
541097,AZ,04013
25706,AZ,04015
15440,AZ,04017
99701,AZ,04019
60455,AZ,04021
4285,AZ,04023
24049,AZ,04025
16074,AZ,04027
3907,AZ,NA
92231,CA,06001
3394,CA,06005
18434,CA,06007
3609,CA,06009
1930,CA,06011
77034,CA,06013
3125,CA,06015
13458,CA,06017
91061,CA,06019
2838,CA,06021
9943,CA,06023
18258,CA,06025
90911,CA,06029
19687,CA,06031
5317,CA,06033
2922,CA,06035
951084,CA,06037
16024,CA,06039
12697,CA,06041
6837,CA,06045
27112,CA,06047
26328,CA,06053
9533,CA,06055
8111,CA,06057
209834,CA,06059
31328,CA,06061
227374,CA,06065
118849,CA,06067
4902,CA,06069
204214,CA,06071
311863,CA,06073
50258,CA,06075
66257,CA,06077
23020,CA,06079
43565,CA,06081
34447,CA,06083
104282,CA,06085
15021,CA,06087
17965,CA,06089
3802,CA,06093
32704,CA,06095
29285,CA,06097
55413,CA,06099
8582,CA,06101
7099,CA,06103
50911,CA,06107
5430,CA,06109
75522,CA,06111
15286,CA,06113
7361,CA,06115
10554,CA,NA
53558,CO,08001
64642,CO,08005
25255,CO,08013
5968,CO,08014
1842,CO,08015
3117,CO,08029
70989,CO,08031
36598,CO,08035
8246,CO,08037
2302,CO,08039
84325,CO,08041
5989,CO,08043
5923,CO,08045
53719,CO,08059
5551,CO,08067
36562,CO,08069
2051,CO,08075
21060,CO,08077
2985,CO,08083
4824,CO,08085
2098,CO,08087
18512,CO,08101
3425,CO,08107
5093,CO,08117
2603,CO,08119
38181,CO,08123
35859,CO,NA
55891,CT,09001
50825,CT,09003
9495,CT,09005
8087,CT,09007
56890,CT,09009
16083,CT,09011
6100,CT,09013
7886,CT,09015
4834,CT,NA
34676,DC,11001
30,DC,NA
21043,DE,10001
68807,DE,10003
26883,DE,10005
6984,DE,NA
28914,FL,12001
3542,FL,12003
19869,FL,12005
3261,FL,12007
59243,FL,12009
293545,FL,12011
16669,FL,12015
13379,FL,12017
24422,FL,12019
36868,FL,12021
9052,FL,12023
4020,FL,12027
128439,FL,12031
37176,FL,12033
9919,FL,12035
5299,FL,12039
3984,FL,12049
4558,FL,12051
22175,FL,12053
10756,FL,12055
172548,FL,12057
16364,FL,12061
6055,FL,12063
43204,FL,12069
93300,FL,12071
32173,FL,12073
4894,FL,12075
43437,FL,12081
41231,FL,12083
13671,FL,12085
571112,FL,12086
7278,FL,12087
10636,FL,12089
20616,FL,12091
4896,FL,12093
167025,FL,12095
51853,FL,12097
179452,FL,12099
59883,FL,12101
94072,FL,12103
97816,FL,12105
8272,FL,12107
26921,FL,12109
38224,FL,12111
19004,FL,12113
43615,FL,12115
50020,FL,12117
10456,FL,12119
4739,FL,12121
2236,FL,12123
55119,FL,12127
3908,FL,12129
7411,FL,12131
2761,FL,12133
22486,FL,NA
2814,GA,13009
8663,GA,13013
12647,GA,13015
13571,GA,13021
4028,GA,13029
6510,GA,13031
1222,GA,13033
2813,GA,13035
4962,GA,13039
10102,GA,13045
5330,GA,13047
22941,GA,13051
2794,GA,13055
29590,GA,13057
9872,GA,13059
26696,GA,13063
76683,GA,13067
3079,GA,13069
4590,GA,13071
11833,GA,13073
15051,GA,13077
1405,GA,13081
2267,GA,13085
1861,GA,13087
57186,GA,13089
2024,GA,13091
6333,GA,13095
16834,GA,13097
6075,GA,13103
895,GA,13107
2263,GA,13111
10142,GA,13113
11016,GA,13115
23654,GA,13117
1615,GA,13119
95837,GA,13121
2974,GA,13123
8399,GA,13127
5978,GA,13129
1916,GA,13131
82900,GA,13135
3116,GA,13137
15475,GA,13139
2204,GA,13143
2188,GA,13145
1723,GA,13147
27441,GA,13151
11755,GA,13153
8236,GA,13157
2027,GA,13169
5296,GA,13175
2686,GA,13177
5038,GA,13179
11012,GA,13185
1653,GA,13187
1858,GA,13189
3018,GA,13195
1701,GA,13199
1705,GA,13205
2564,GA,13207
4477,GA,13213
13928,GA,13215
12062,GA,13217
3024,GA,13219
18688,GA,13223
2126,GA,13225
4101,GA,13227
5180,GA,13233
1488,GA,13237
17188,GA,13245
8904,GA,13247
7439,GA,13255
1291,GA,13257
2567,GA,13261
1967,GA,13267
4514,GA,13275
4744,GA,13277
2590,GA,13279
6812,GA,13285
1400,GA,13291
1690,GA,13293
6441,GA,13295
10550,GA,13297
3693,GA,13299
1461,GA,13303
3129,GA,13305
1495,GA,13311
10952,GA,13313
1640,GA,13321
109431,GA,NA
13012,GU,NA
6150,HI,15001
13826,HI,15003
3511,HI,15009
1790,HI,NA
1447,IA,19011
6500,IA,19013
1389,IA,19015
1088,IA,19017
1163,IA,19019
916,IA,19027
2402,IA,19033
2619,IA,19045
5076,IA,19049
2869,IA,19057
4899,IA,19061
1992,IA,19099
5723,IA,19103
958,IA,19105
2447,IA,19111
11170,IA,19113
1397,IA,19123
2144,IA,19125
2016,IA,19127
2187,IA,19139
1013,IA,19149
27845,IA,19153
5566,IA,19155
9030,IA,19163
1170,IA,19167
3666,IA,19169
2436,IA,19179
3192,IA,19181
1530,IA,19183
2147,IA,19187
6109,IA,19193
46811,IA,NA
52431,ID,16001
8242,ID,16005
3752,ID,16011
2115,ID,16013
4701,ID,16017
11914,ID,16019
24104,ID,16027
1427,ID,16031
3174,ID,16039
2555,ID,16051
2215,ID,16053
19030,ID,16055
2717,ID,16057
3981,ID,16065
1227,ID,16067
3542,ID,16069
2207,ID,16075
9048,ID,16083
20131,ID,NA
11073,IL,17001
6008,IL,17007
3834,IL,17011
32280,IL,17019
4765,IL,17021
5189,IL,17027
6547,IL,17029
572447,IL,17031
11833,IL,17037
109929,IL,17043
4628,IL,17049
2744,IL,17051
5792,IL,17055
5249,IL,17057
6823,IL,17063
5532,IL,17073
3479,IL,17075
7360,IL,17077
5069,IL,17081
2845,IL,17083
1669,IL,17085
60713,IL,17089
14405,IL,17091
17020,IL,17093
5835,IL,17095
65578,IL,17097
14478,IL,17099
3981,IL,17103
4301,IL,17105
4443,IL,17107
3150,IL,17109
38444,IL,17111
25765,IL,17113
14952,IL,17115
5652,IL,17117
34742,IL,17119
5703,IL,17121
4383,IL,17133
4242,IL,17135
4023,IL,17137
6758,IL,17141
26110,IL,17143
3043,IL,17145
3927,IL,17157
15755,IL,17161
31442,IL,17163
3678,IL,17165
27296,IL,17167
2809,IL,17173
5829,IL,17177
19612,IL,17179
15218,IL,17183
6891,IL,17195
85240,IL,17197
