Table with column headers in rows 3 and 4,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Median Household Income,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,"41,393,176","41,149,497","41,636,855",12.8,12.7,12.9,"69,717","69,583","69,851"
01,000,AL,Alabama,"800,848","782,169","819,527",16.3,15.9,16.7,"53,990","53,218","54,762"
01,001,AL,Autauga County,"6,296","4,772","7,820",10.7,8.1,13.3,"66,444","60,061","72,827"
01,003,AL,Baldwin County,"25,526","21,599","29,453",10.8,9.1,12.5,"65,658","60,723","70,593"
01,005,AL,Barbour County,"5,089","3,773","6,405",23.0,17.0,29.0,"38,649","34,308","42,990"
01,007,AL,Bibb County,"4,204","3,324","5,084",20.6,16.3,24.9,"48,454","42,438","54,470"
01,009,AL,Blount County,"6,992","5,516","8,468",12.0,9.5,14.5,"56,894","52,632","61,156"
01,011,AL,Bullock County,"2,764","2,161","3,367",32.1,25.1,39.1,"32,027","28,131","35,923"
01,013,AL,Butler County,"4,226","3,385","5,067",22.7,18.2,27.2,"39,442","34,974","43,910"
01,015,AL,Calhoun County,"21,630","18,671","24,589",19.2,16.6,21.8,"48,166","43,479","52,853"
01,017,AL,Chambers County,"6,699","5,333","8,065",19.7,15.7,23.7,"45,447","40,729","50,165"
01,019,AL,Cherokee County,"4,513","3,675","5,351",18.2,14.8,21.6,"46,365","41,576","51,154"
01,021,AL,Chilton County,"6,973","5,520","8,426",15.5,12.3,18.7,"55,142","49,687","60,597"
01,023,AL,Choctaw County,"2,893","2,303","3,483",23.3,18.5,28.1,"40,601","35,622","45,580"
01,025,AL,Clarke County,"4,366","3,390","5,342",19.4,15.1,23.7,"45,447","40,973","49,921"
01,027,AL,Clay County,"2,560","2,083","3,037",18.4,15.0,21.8,"47,036","42,115","51,957"
01,029,AL,Cleburne County,"2,236","1,723","2,749",15.0,11.6,18.4,"49,769","44,688","54,850"
01,031,AL,Coffee County,"8,516","7,320","9,712",15.9,13.7,18.1,"55,052","49,791","60,313"
01,033,AL,Colbert County,"9,396","7,821","10,971",16.5,13.7,19.3,"53,341","48,729","57,953"
01,035,AL,Conecuh County,"2,528","1,893","3,163",22.4,16.8,28.0,"35,621","31,410","39,832"
01,037,AL,Coosa County,"1,754","1,305","2,203",17.1,12.7,21.5,"45,954","41,569","50,339"
01,039,AL,Covington County,"7,317","6,099","8,535",19.8,16.5,23.1,"44,188","39,230","49,146"
01,041,AL,Crenshaw County,"2,267","1,722","2,812",17.5,13.3,21.7,"38,037","34,707","41,367"
01,043,AL,Cullman County,"11,898","9,659","14,137",13.5,11.0,16.0,"55,036","50,209","59,863"
01,045,AL,Dale County,"7,587","6,146","9,028",15.7,12.7,18.7,"50,086","44,844","55,328"
01,047,AL,Dallas County,"10,914","8,700","13,128",29.5,23.5,35.5,"33,159","29,451","36,867"
01,049,AL,DeKalb County,"13,783","11,773","15,793",19.4,16.6,22.2,"45,062","40,409","49,715"
01,051,AL,Elmore County,"10,138","8,210","12,066",12.0,9.7,14.3,"63,147","56,748","69,546"
01,053,AL,Escambia County,"8,147","6,711","9,583",23.8,19.6,28.0,"40,506","36,159","44,853"
01,055,AL,Etowah County,"17,605","14,857","20,353",17.4,14.7,20.1,"46,308","42,549","50,067"
01,057,AL,Fayette County,"3,123","2,513","3,733",19.6,15.8,23.4,"46,122","40,615","51,629"
01,059,AL,Franklin County,"5,995","4,822","7,168",18.9,15.2,22.6,"45,440","40,313","50,567"
01,061,AL,Geneva County,"5,566","4,539","6,593",21.1,17.2,25.0,"43,206","38,206","48,206"
01,063,AL,Greene County,"2,520","1,994","3,046",33.2,26.3,40.1,"30,225","26,496","33,954"
01,065,AL,Hale County,"3,221","2,452","3,990",22.1,16.8,27.4,"41,995","37,073","46,917"
01,067,AL,Henry County,"2,694","2,063","3,325",15.6,11.9,19.3,"56,389","51,555","61,223"
01,069,AL,Houston County,"20,210","18,330","22,090",19.1,17.3,20.9,"48,701","45,238","52,164"
01,071,AL,Jackson County,"9,851","8,426","11,276",18.9,16.2,21.6,"46,998","42,418","51,578"
01,073,AL,Jefferson County,"110,131","101,051","119,211",16.9,15.5,18.3,"55,210","53,213","57,207"
01,075,AL,Lamar County,"2,300","1,751","2,849",17.0,12.9,21.1,"44,265","39,295","49,235"
01,077,AL,Lauderdale County,"14,838","12,398","17,278",16.2,13.5,18.9,"52,222","46,982","57,462"
01,079,AL,Lawrence County,"4,566","3,383","5,749",13.9,10.3,17.5,"55,555","51,509","59,601"
01,081,AL,Lee County,"30,989","27,246","34,732",18.0,15.8,20.2,"54,188","49,989","58,387"
01,083,AL,Limestone County,"10,363","8,335","12,391",9.9,8.0,11.8,"69,207","62,603","75,811"
01,085,AL,Lowndes County,"2,786","2,207","3,365",28.3,22.4,34.2,"36,993","32,332","41,654"
01,087,AL,Macon County,"4,725","3,675","5,775",27.5,21.4,33.6,"35,354","31,455","39,253"
01,089,AL,Madison County,"39,316","33,460","45,172",10.2,8.7,11.7,"78,386","75,384","81,388"
01,091,AL,Marengo County,"4,602","3,718","5,486",24.6,19.9,29.3,"42,048","36,836","47,260"
01,093,AL,Marion County,"5,209","4,170","6,248",18.3,14.7,21.9,"44,636","39,507","49,765"
01,095,AL,Marshall County,"15,145","12,505","17,785",15.6,12.9,18.3,"50,858","46,706","55,010"
01,097,AL,Mobile County,"74,061","65,882","82,240",18.2,16.2,20.2,"49,848","47,564","52,132"
01,099,AL,Monroe County,"4,349","3,458","5,240",22.3,17.7,26.9,"40,997","36,842","45,152"
01,101,AL,Montgomery County,"47,309","41,969","52,649",21.7,19.3,24.1,"50,645","47,680","53,610"
01,103,AL,Morgan County,"16,459","13,612","19,306",13.5,11.2,15.8,"56,340","51,984","60,696"
01,105,AL,Perry County,"2,591","1,982","3,200",33.7,25.8,41.6,"31,522","27,798","35,246"
01,107,AL,Pickens County,"3,591","2,751","4,431",21.1,16.2,26.0,"43,926","39,183","48,669"
01,109,AL,Pike County,"7,429","6,243","8,615",23.9,20.1,27.7,"38,945","35,664","42,226"
01,111,AL,Randolph County,"4,652","3,872","5,432",21.5,17.9,25.1,"45,889","40,334","51,444"
