NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
0100101 AL EBT AUTAUGA CO FS OFF,"1,334",,"6,359",,"7,693",,552,,"2,993",,"3,545",,"1,847,912",,,,
0100301 AL EBT BALDWIN CO FS OFF,"2,437",,"18,224",,"20,661",,"1,120",,"8,354",,"9,474",,"5,067,133",,,,
0100501 AL EBT BARBOUR CO FS OFF,"1,097",,"4,776",,"5,873",,503,,"2,345",,"2,848",,"1,434,368",,,,
0100701 AL EBT BIBB CO FS OFF,662,,"2,731",,"3,393",,330,,"1,376",,"1,706",,"824,940",,,,
0100901 AL EBT BLOUNT CO FS OFF,"1,105",,"5,067",,"6,172",,577,,"2,427",,"3,004",,"1,508,608",,,,
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0,,,,
0101101 AL EBT BULLOCK CO FS OFF,564,,"2,141",,"2,705",,267,,"1,030",,"1,297",,"660,297",,,,
0101301 AL EBT BUTLER CO FSO,932,,"4,051",,"4,983",,433,,"2,053",,"2,486",,"1,205,324",,,,
0101501 AL EBT CALHOUN CO FS OFF,"3,299",,"16,630",,"19,929",,"1,725",,"8,323",,"10,048",,"4,966,531",,,,
0101701 AL EBT CHAMBERS CO FS OFF,"1,117",,"5,474",,"6,591",,655,,"2,788",,"3,443",,"1,634,910",,,,
0101901 AL EBT CHEROKEE CO FS OFFICE,709,,"2,801",,"3,510",,397,,"1,454",,"1,851",,"849,489",,,,
0102101 AL EBT CHILTON CO FS OFF,"1,204",,"6,195",,"7,399",,595,,"2,917",,"3,512",,"1,844,532",,,,
